Keyword,Avg. monthly searches,Three month change,YoY change,Competition,Ad impression share,Top of page bid (low range),Top of page bid (high range),Locations
vibe coding,"100K – 1M",0%,0%,Medium,—,RON9.32,RON50.88,"US+UK+AU+RO"
mcp server,"10K – 100K",0%,0%,Low,—,RON8.87,RON39.62,"US+UK+AU+RO"
agentic coding,"1K – 10K",0%,0%,Medium,—,RON17.41,RON79.55,"US+UK+AU+RO"
claude code tutorial,"1K – 10K",0%,+900%,Low,—,RON6.22,RON39.08,"US+UK+AU+RO"
cursor rules,"1K – 10K",0%,-90%,Low,—,RON24.25,RON87.67,"US+UK+AU+RO"
angular mcp server,"100 – 1K",0%,+900%,Low,—,RON10.00,RON76.49,"US+UK+AU+RO"
ai debugging,"100 – 1K",0%,0%,Medium,—,RON36.83,RON130.54,"US+UK+AU+RO"
ai code migration,"10 – 100",0%,0%,Medium,—,RON21.50,RON124.28,"US+UK+AU+RO"
ai unit test generation,"10 – 100",0%,0%,Medium,—,RON17.78,RON67.54,"US+UK+AU+RO"
angular agent skills,"10 – 100",0%,+∞,Low,—,—,—,"US+UK+AU+RO"
angular ai tools,"10 – 100",0%,0%,Low,—,—,—,"US+UK+AU+RO"
angular claude md,"10 – 100",0%,+∞,Low,—,—,—,"US+UK+AU+RO"
angular cursor rules,"10 – 100",0%,0%,Low,—,—,—,"US+UK+AU+RO"
angular web codegen scorer,"10 – 100",0%,+∞,Low,—,—,—,"US+UK+AU+RO"
claude code angular,"10 – 100",0%,+∞,Low,—,—,—,"US+UK+AU+RO"
github copilot angular,"10 – 100",0%,0%,Low,—,—,—,"US+UK+AU+RO"
vibe coding angular,"10 – 100",-100%,-100%,—,—,—,—,"US+UK+AU+RO"
agentic coding angular,—,—,—,—,—,—,—,"US+UK+AU+RO"
ai assisted angular migration,—,—,—,—,—,—,—,"US+UK+AU+RO"
ai debugging angular,—,—,—,—,—,—,—,"US+UK+AU+RO"
ai generated unit tests angular,—,—,—,—,—,—,—,"US+UK+AU+RO"
angular ai configuration,—,—,—,—,—,—,—,"US+UK+AU+RO"
angular brownfield ai,—,—,—,—,—,—,—,"US+UK+AU+RO"
angular copilot outdated code,—,—,—,—,—,—,—,"US+UK+AU+RO"
copilot angular tutorial,—,—,—,—,—,—,—,"US+UK+AU+RO"
